Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.68,0.32546374367622255,0.01265822784810127,1.0
RDP,0.0,1.0,1.0,0.8511392405063292,67.24
BU,0.0,1.0,1.0,1.0126582278481016,80.0
VC,0.0,1.0,1.0,1.0,79.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,1.0,1.0,0.14481012658227846,11.44
RDP,0.1,1.0,1.0,0.12518987341772156,9.89
BU,0.1,1.0,1.0,0.1037974683544304,8.2
VC,0.1,1.0,1.0,0.21417721518987343,16.92
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,1.0,1.0,0.20189873417721518,15.95
RDP,0.2,0.88,0.7630331753554502,0.09037974683544306,7.14
BU,0.2,0.91,0.8205741626794258,0.07658227848101266,6.05
VC,0.2,1.0,1.0,0.1672151898734177,13.21
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.25556962025316454,20.19
RDP,0.30000000000000004,0.78,0.5788667687595712,0.06620253164556963,5.23
BU,0.30000000000000004,0.69,0.42250372578241435,0.06354430379746838,5.02
VC,0.30000000000000004,1.0,1.0,0.14455696202531645,11.42
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.3148101265822784,24.87
RDP,0.4,0.66,0.37223042836041353,0.060253164556962044,4.76
BU,0.4,0.69,0.42250372578241435,0.06341772151898736,5.01
VC,0.4,1.0,1.0,0.1337974683544304,10.57
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.3788607594936708,29.93
RDP,0.5,0.63,0.3228404099560761,0.045316455696202546,3.58
BU,0.5,0.7,0.4394618834080717,0.06303797468354431,4.98
VC,0.5,1.0,1.0,0.12734177215189876,10.06
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.4492405063291139,35.49
RDP,0.6000000000000001,0.57,0.22661870503597115,0.03544303797468355,2.8
BU,0.6000000000000001,0.75,0.5257966616084977,0.05759493670886078,4.55
VC,0.6000000000000001,1.0,1.0,0.12126582278481017,9.58
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.5379746835443038,42.5
RDP,0.7000000000000001,0.42,0.0,0.014936708860759495,1.18
BU,0.7000000000000001,0.75,0.5257966616084977,0.05177215189873419,4.09
VC,0.7000000000000001,1.0,1.0,0.11772151898734182,9.3
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6373417721518987,50.35
RDP,0.8,0.42,0.0,0.01265822784810127,1.0
BU,0.8,0.69,0.42250372578241435,0.04253164556962025,3.36
VC,0.8,1.0,1.0,0.11506329113924053,9.09
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.7458227848101266,58.92
RDP,0.9,0.42,0.0,0.01265822784810127,1.0
BU,0.9,0.55,0.1952789699570816,0.03784810126582278,2.99
VC,0.9,1.0,1.0,0.11278481012658231,8.91
LSF,0.9,0.0,0.0,0.0,0.0
