Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.34,0.019024970273483932,0.007874015748031496,1.0
RDP,0.0,1.0,1.0,0.9996850393700788,126.96
BU,0.0,1.0,1.0,1.0078740157480315,128.0
VC,0.0,1.0,1.0,1.0,127.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.96,0.9095840867992767,0.11685039370078741,14.84
RDP,0.1,0.88,0.72875226039783,0.06614173228346457,8.4
BU,0.1,0.87,0.7131509267431597,0.06354330708661417,8.07
VC,0.1,0.99,0.9772105742935278,0.157007874015748,19.94
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.98,0.9540441176470589,0.1611023622047244,20.46
RDP,0.2,0.68,0.38650306748466257,0.04078740157480315,5.18
BU,0.2,0.82,0.6237458193979933,0.04700787401574804,5.97
VC,0.2,0.94,0.8621323529411765,0.11637795275590551,14.78
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.2118897637795276,26.91
RDP,0.30000000000000004,0.65,0.3599122165325531,0.03354330708661417,4.26
BU,0.30000000000000004,0.71,0.43226311667971806,0.0395275590551181,5.02
VC,0.30000000000000004,0.92,0.8130841121495327,0.1011023622047244,12.84
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.2655905511811024,33.73
RDP,0.4,0.61,0.3224461431549688,0.027086614173228343,3.44
BU,0.4,0.67,0.3801652892561983,0.03629921259842519,4.61
VC,0.4,0.94,0.8598130841121495,0.09188976377952754,11.67
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.33456692913385827,42.49
RDP,0.5,0.42,0.08919597989949757,0.01763779527559055,2.24
BU,0.5,0.63,0.32333577176298467,0.034094488188976375,4.33
VC,0.5,0.93,0.8350612629594723,0.08401574803149606,10.67
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.42157480314960627,53.54
RDP,0.6000000000000001,0.33,0.009461856889414366,0.010078740157480314,1.28
BU,0.6000000000000001,0.62,0.300441826215022,0.03314960629921259,4.21
VC,0.6000000000000001,0.92,0.8161764705882353,0.0778740157480315,9.89
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.5289763779527559,67.18
RDP,0.7000000000000001,0.33,0.009461856889414366,0.008346456692913385,1.06
BU,0.7000000000000001,0.61,0.28675932699341633,0.031889763779527555,4.05
VC,0.7000000000000001,0.91,0.7948951686417502,0.07338582677165353,9.32
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6574015748031495,83.49
RDP,0.8,0.33,0.009461856889414366,0.008031496062992124,1.02
BU,0.8,0.62,0.30959302325581406,0.031338582677165355,3.98
VC,0.8,0.92,0.8191681735985533,0.07047244094488189,8.95
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.8254330708661418,104.83
RDP,0.9,0.33,0.009461856889414366,0.007874015748031496,1.0
BU,0.9,0.61,0.27724240177909554,0.030708661417322834,3.9
VC,0.9,0.9,0.7739602169981917,0.06724409448818898,8.54
LSF,0.9,0.0,0.0,0.0,0.0
