Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.98,0.0,0.006622516556291393,1.0
RDP,0.0,1.0,1.0,0.5661589403973509,85.49
BU,0.0,1.0,1.0,1.0066225165562914,152.0
VC,0.0,1.0,1.0,1.0,151.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,1.0,1.0,0.07397350993377483,11.17
RDP,0.1,1.0,1.0,0.04271523178807946,6.45
BU,0.1,1.0,1.0,0.034039735099337755,5.14
VC,0.1,1.0,1.0,0.07456953642384107,11.26
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,1.0,1.0,0.08927152317880793,13.48
RDP,0.2,1.0,1.0,0.013112582781456954,1.98
BU,0.2,1.0,1.0,0.02543046357615894,3.84
VC,0.2,1.0,1.0,0.06536423841059602,9.87
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.09874172185430463,14.91
RDP,0.30000000000000004,1.0,1.0,0.009337748344370863,1.41
BU,0.30000000000000004,1.0,1.0,0.02178807947019867,3.29
VC,0.30000000000000004,1.0,1.0,0.060596026490066214,9.15
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.1081456953642384,16.33
RDP,0.4,1.0,1.0,0.008013245033112586,1.21
BU,0.4,1.0,1.0,0.017814569536423845,2.69
VC,0.4,1.0,1.0,0.05635761589403973,8.51
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.11781456953642383,17.79
RDP,0.5,1.0,1.0,0.008013245033112586,1.21
BU,0.5,1.0,1.0,0.014701986754966891,2.22
VC,0.5,1.0,1.0,0.05403973509933775,8.16
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.1286754966887417,19.43
RDP,0.6000000000000001,0.99,0.0,0.00774834437086093,1.17
BU,0.6000000000000001,1.0,1.0,0.013576158940397355,2.05
VC,0.6000000000000001,1.0,1.0,0.05258278145695365,7.94
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.14509933774834435,21.91
RDP,0.7000000000000001,1.0,1.0,0.006622516556291393,1.0
BU,0.7000000000000001,1.0,1.0,0.013443708609271528,2.03
VC,0.7000000000000001,1.0,1.0,0.05072847682119207,7.66
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.17496688741721855,26.42
RDP,0.8,1.0,1.0,0.006622516556291393,1.0
BU,0.8,1.0,1.0,0.013443708609271528,2.03
VC,0.8,1.0,1.0,0.04940397350993379,7.46
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.24278145695364237,36.66
RDP,0.9,1.0,1.0,0.006622516556291393,1.0
BU,0.9,1.0,1.0,0.0133112582781457,2.01
VC,0.9,1.0,1.0,0.046158940397351,6.97
LSF,0.9,0.0,0.0,0.0,0.0
